PROCEDURE CODE,LONG DESCRIPTION,SHORT DESCRIPTION,CODE,CODE1,
1,Therapeutic ultrasound of vessels of head and neck,Ther ult head & neck ves,1,5,5601
2,Therapeutic ultrasound of heart,Ther ultrasound of heart,2,20,5601
3,Therapeutic ultrasound of peripheral vascular vessels,Ther ult peripheral ves,3,30,
9,Other therapeutic ultrasound,Other therapeutic ultsnd,9,90,
10,Implantation of chemotherapeutic agent,Implant chemothera agent,10,100,
11,Infusion of drotrecogin alfa (activated),Infus drotrecogin alfa,11,110,
12,Administration of inhaled nitric oxide,Adm inhal nitric oxide,12,120,
13,Injection or infusion of nesiritide,Inject/infus nesiritide,13,130,
14,Injection or infusion of oxazolidinone class of antibiotics,Injection oxazolidinone,14,140,
15,High-dose infusion interleukin-2 [IL-2],High-dose infusion IL-2,15,150,
16,Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance,Pressurized treat graft,16,160,
17,Infusion of vasopressor agent,Infusion of vasopressor,17,170,
18,Infusion of immunosuppressive antibody therapy,Infus immunosup antibody,18,180,
19,Disruption of blood brain barrier via infusion [BBBD],BBBD via infusion,19,190,
21,Intravascular imaging of extracranial cerebral vessels,IVUS extracran cereb ves,21,210,
22,Intravascular imaging of intrathoracic vessels,IVUS intrathoracic ves,22,220,
23,Intravascular imaging of peripheral vessels,IVUS peripheral vessels,23,230,
24,Intravascular imaging of coronary vessels,IVUS coronary vessels,24,240,
25,Intravascular imaging of renal vessels,IVUS renal vessels,25,250,
28,"Intravascular imaging, other specified vessel(s)",Intravascul imaging NEC,28,280,
29,"Intravascular imaging, unspecified vessel(s)",Intravascul imaging NOS,29,290,
31,Computer assisted surgery with CT/CTA,CAS w CT/CTA,31,310,
32,Computer assisted surgery with MR/MRA,CAS w MR/MRA,32,320,
33,Computer assisted surgery with fluoroscopy,CAS w fluoroscopy,33,330,
34,Imageless computer assisted surgery,Imageless comp asst surg,34,340,
35,Computer assisted surgery with multiple datasets,CAS w multiple datasets,35,350,
39,Other computer assisted surgery,Other CAS,39,390,
40,Procedure on single vessel,Procedure-one vessel,40,400,
41,Procedure on two vessels,Procedure-two vessels,41,410,
42,Procedure on three vessels,Procedure-three vessels,42,420,
43,Procedure on four or more vessels,Procedure-four+ vessels,43,430,
44,Procedure on vessel bifurcation,Proc-vessel bifurcation,44,440,
45,Insertion of one vascular stent,Insert 1 vascular stent,45,450,
46,Insertion of two vascular stents,Insert 2 vascular stents,46,460,
47,Insertion of three vascular stents,Insert 3 vascular stents,47,470,
48,Insertion of four or more vascular stents,Insert 4+ vasculr stents,48,480,
49,Supersaturated oxygen therapy,SuperSat O2 therapy,49,490,
50,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]",Impl CRT pacemaker sys,50,500,
51,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]",Impl CRT defibrillat sys,51,510,
52,Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system,Imp/rep lead lf ven sys,52,520,
53,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P],Imp/rep CRT pacemakr gen,53,530,
54,Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D],Imp/rep CRT defib genat,54,540,
55,Insertion of drug-eluting stent(s) of other peripheral vessel(s),Ins d-e stent oth periph,55,550,
56,Insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring,Ins/rep sens-crd/vsl mtr,56,560,
57,Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring,Imp/rep subcue card dev,57,570,
58,Insertion of intra-aneurysm sac pressure monitoring device (intraoperative),Ins intra-ansm pres mntr,58,580,
59,Intravascular pressure measurement of coronary arteries,Intravasc msmnt cor art,59,590,
60,Insertion of drug-eluting stent(s) of superficial femoral artery,Ins d-e stnt sup fem art,60,600,
61,Percutaneous angioplasty of extracranial vessel(s),Perc angio extracran ves,61,610,
62,Percutaneous angioplasty of intracranial vessel(s),Perc angio intracran ves,62,620,
63,Percutaneous insertion of carotid artery stent(s),Perc ins carotid stent,63,630,
64,Percutaneous insertion of other extracranial artery stent(s),Perc ins extracran stent,64,640,
65,Percutaneous insertion of intracranial vascular stent(s),Perc ins intracran stent,65,650,
66,Percutaneous transluminal coronary angioplasty [PTCA],PTCA,66,660,
67,Intravascular pressure measurement of intrathoracic arteries,Intravas msmnt thorc art,67,670,
68,Intravascular pressure measurement of peripheral arteries,Intravas msmt periph art,68,680,
69,"Intravascular pressure measurement, other specified and unspecified vessels",Intravs msmt ves NEC/NOS,69,690,
70,"Revision of hip replacement, both acetabular and femoral components",Rev hip repl-acetab/fem,70,700,
71,"Revision of hip replacement, acetabular component",Rev hip repl-acetab comp,71,710,
72,"Revision of hip replacement, femoral component",Rev hip repl-fem comp,72,720,
73,"Revision of hip replacement, acetabular liner and/or femoral head only",Rev hip repl-liner/head,73,730,
74,"Hip bearing surface, metal-on-polyethylene","Hip surface, metal/poly",74,740,
75,"Hip bearing surface, metal-on-metal","Hip surface, metal/metal",75,750,
76,"Hip bearing surface, ceramic-on-ceramic","Hip surface, cermc/cermc",76,760,
77,"Hip bearing surface, ceramic-on-polyethylene","Hip surface, cermc/poly",77,770,
80,"Revision of knee replacement, total (all components)",Rev knee replacemt-total,80,800,
81,"Revision of knee replacement, tibial component",Rev knee repl-tibia comp,81,810,
82,"Revision of knee replacement, femoral component",Rev knee repl-femur comp,82,820,
83,"Revision of knee replacement, patellar component",Rev knee replace-patella,83,830,
84,"Revision of total knee replacement, tibial insert (liner)",Rev knee repl-tibia lin,84,840,
85,"Resurfacing hip, total, acetabulum and femoral head","Resrf hip,total-acet/fem",85,850,
86,"Resurfacing hip, partial, femoral head","Resrf hip,part-fem head",86,860,
87,"Resurfacing hip, partial, acetabulum","Resrf hip,part-acetablum",87,870,
91,Transplant from live related donor,Trnsplnt live rel donor,91,910,
92,Transplant from live non-related donor,Trnsplnt live nonrel don,92,920,
93,Transplant from cadaver,Transplant cadaver donor,93,930,
94,Intra-operative neurophysiologic monitoring,Intra-op neurophys montr,94,940,
95,Injection or infusion of glucarpidase,Injct/infus glucarpidase,95,950,
96,Infusion of 4-Factor Prothrombin Complex Concentrate,Infusion 4F-PCC,96,960,
101,Cisternal puncture,Cisternal puncture,101,1010,
102,Ventriculopuncture through previously implanted catheter,Ventricl shunt tube punc,102,1020,
109,Other cranial puncture,Cranial puncture NEC,109,1090,
110,Intracranial pressure monitoring,Intracran pressure montr,110,1100,
111,Closed [percutaneous] [needle] biopsy of cerebral meninges,Clos cereb meninges bx,111,1110,
112,Open biopsy of cerebral meninges,Open cereb meninges bx,112,1120,
113,Closed [percutaneous] [needle] biopsy of brain,Closed brain biopsy,113,1130,
114,Open biopsy of brain,Open brain biopsy,114,1140,
115,Biopsy of skull,Skull biopsy,115,1150,
116,Intracranial oxygen monitoring,Intracranial 02 monitor,116,1160,
117,Brain temperature monitoring,Brain temp monitoring,117,1170,
118,Other diagnostic procedures on brain and cerebral meninges,Other brain dx procedure,118,1180,
119,Other diagnostic procedures on skull,Other skull dx procedure,119,1190,
120,Cranial implantation or replacement of neurostimulator pulse generator,Imp/repl brain pulse gen,120,1200,
121,Incision and drainage of cranial sinus,Cranial sinus i & d,121,1210,
